"","date","time","chamber","TA","Null","CO2L","DiffP","TS","Null.1","SoilM","CO2Flow","CO2CChamb","DPCChamb","LCO2slope","ValveTime","CondWater","TBox","doorcnt"
"17","2014-02-12","00:01:10",4,26.2,1,418.4,73.4,1,1,-7.1,0,419.2,22.3,1.013099,0,5.16,27.5,0
"18","2014-02-12","00:01:10",5,148.4,1,430.3,-10.6,1,1,-7.1,0,427.4,20.7,1.017218,0,4.6,27.6,0
"19","2014-02-12","00:01:10",6,25.4,1,420.6,76.1,1,1,-7.1,0,427.4,22,0.4867572,0,0,27.2,0
"20","2014-02-12","00:01:10",7,22.8,1,458.9,-13.3,1,1,-7.1,0,460.3,19.9,0.5020257,0,0,25.2,0
"21","2014-02-12","00:01:10",8,-51.1,1,431.6,75.4,1,1,-7.1,0,431,25.5,0.4784756,0,0,25.5,0
"22","2014-02-12","00:01:10",9,-51.1,1,417.7,-2.7,1,1,-7.1,0,416.9,20.1,0.9944625,0,4.58,25,0
"23","2014-02-12","00:01:10",10,25.1,1,410,-3.6,1,1,-7.1,0,408.6,21.7,1.035327,0,0,28,0
"24","2014-02-12","00:01:10",11,22.5,1,434.4,59.6,1,1,-7.1,0,434.5,20.1,1.014871,0,0,28.3,0
"25","2014-02-12","00:01:10",12,65.9,1,428.6,-4.3,1,1,-7.1,0,427.4,25.6,0.9893199,0,0,28,0
"26","2014-02-12","00:01:10",13,427.4,96.6,21.8,101.7,20.2,21.3,27,0,0.7,394.5,0,NA,NA,NA,NA
"27","2014-02-12","00:02:09",1,-51.1,1,434.5,72.4,1,1,-7.1,0,434.5,20.6,0.9896376,0,0,28.1,0
"28","2014-02-12","00:02:09",2,-51.1,1,425.6,-5.5,1,1,-7.1,0,421.6,21.5,1.003841,0,0,28.1,0
"29","2014-02-12","00:02:09",3,22.7,1,417.6,82.4,1,1,-7.1,0,418,20.6,0.5104966,0,3.36,25.9,0
"30","2014-02-12","00:02:09",4,26.2,1,418.4,73.3,1,1,-7.1,0,419.2,22.3,1.013099,0,0,27.5,0
"31","2014-02-12","00:02:09",5,148.4,1,430.3,-10.6,1,1,-7.1,0,427.4,20.7,1.017218,0,9.2,27.5,0
"32","2014-02-12","00:02:09",6,25.4,1,420.6,76.1,1,1,-7.1,0,427.4,22,0.4867572,0,0,27.2,0
"33","2014-02-12","00:02:09",7,22.8,1,458.9,-13.3,1,1,-7.1,0,460.3,19.9,0.5020257,0,4.2,25.1,0
"34","2014-02-12","00:02:09",8,-51.1,1,431.1,75.1,1,1,-7.1,0,431,25.5,0.4784756,0,0,25.5,0
"35","2014-02-12","00:02:09",9,-51.1,1,417.7,-2.7,1,1,-7.1,0,416.9,20.1,0.9944625,0,0,24.9,0
"36","2014-02-12","00:02:09",10,25.1,1,410,-3.4,1,1,-7.1,0,408.6,21.7,1.035327,0,0,28,0
"37","2014-02-12","00:02:09",11,22.4,1,434.4,59.6,1,1,-7.1,0,434.5,20.1,1.014871,0,4.5,28.3,0
"38","2014-02-12","00:02:09",12,65.9,1,428.4,-4.3,1,1,-7.1,0,427.4,25.6,0.9893199,0,6.4,28,0
"39","2014-02-12","00:02:09",13,394.5,96.9,21.8,101.7,20.3,21.4,27,0,0.5,394.5,0,NA,NA,NA,NA
"40","2014-02-12","00:03:09",1,-51.1,1,434.5,72.2,1,1,-7.1,0,433.3,21.4,0.988271,0,4.66,28,0
"41","2014-02-12","00:03:09",2,-51.1,1,425.6,-5.5,1,1,-7.1,0,421.6,21.5,1.003841,0,0,28,0
"42","2014-02-12","00:03:09",3,22.7,1,418.1,82.3,1,1,-7.1,0,418,20.6,0.5104966,0,6.72,25.9,0
"43","2014-02-12","00:03:09",4,26.1,1,418.4,73.4,1,1,-7.1,0,419.2,22.3,1.013099,0,0,27.5,0
"44","2014-02-12","00:03:09",5,148.4,1,430.3,-10.6,1,1,-7.1,0,427.4,20.7,1.017218,0,4.6,27.5,0
"45","2014-02-12","00:03:09",6,25.4,1,421.5,76.3,1,1,-7.1,0,427.4,22,0.4867572,0,0,27.2,0
"46","2014-02-12","00:03:09",7,22.8,1,458.9,-13.3,1,1,-7.1,0,460.3,19.9,0.5020257,0,0,25.1,0
"47","2014-02-12","00:03:09",8,-51.1,1,431.1,75.2,1,1,-7.1,0,431,25.5,0.4784756,0,0,25.4,0
"48","2014-02-12","00:03:09",9,-51.1,1,417.7,-2.7,1,1,-7.1,0,416.9,20.1,0.9944625,0,4.58,24.9,0
"49","2014-02-12","00:03:09",10,25.1,1,410,-3.4,1,1,-7.1,0,408.6,21.7,1.035327,0,0,27.9,0
"50","2014-02-12","00:03:09",11,22.4,1,434.4,59.4,1,1,-7.1,0,434.5,20.1,1.014871,0,4.5,28.3,0
"51","2014-02-12","00:03:09",12,65.8,1,429.4,-4.5,1,1,-7.1,0,427.4,25.6,0.9893199,0,0,28,0
"52","2014-02-12","00:03:09",13,433.3,97,21.8,101.7,20.3,21.4,27,0,0.4,394.5,0,NA,NA,NA,NA
"53","2014-02-12","00:04:10",1,-51.1,1,433.9,72.4,1,1,-7.1,0,433.3,21.4,0.988271,0,4.66,28,0
"54","2014-02-12","00:04:10",2,-51.1,1,425.6,-5.5,1,1,-7.1,0,425.1,21.6,1.003926,0,4.15,28,0
"55","2014-02-12","00:04:10",3,22.7,1,418.6,82.3,1,1,-7.1,0,418,20.6,0.5104966,0,3.36,25.9,0
"56","2014-02-12","00:04:10",4,26.2,1,418.4,73.3,1,1,-7.1,0,419.2,22.3,1.013099,0,0,27.5,0
"57","2014-02-12","00:04:10",5,148.4,1,431.3,-10.6,1,1,-7.1,0,427.4,20.7,1.017218,0,4.6,27.5,0
"58","2014-02-12","00:04:10",6,25.4,1,421,76.1,1,1,-7.1,0,427.4,22,0.4867572,0,0,27.2,0
"59","2014-02-12","00:04:10",7,22.7,1,459.9,-13.5,1,1,-7.1,0,460.3,19.9,0.5020257,0,4.2,25.1,0
"60","2014-02-12","00:04:10",8,-51.1,1,431.1,75.1,1,1,-7.1,0,431,25.5,0.4784756,0,0,25.4,0
"61","2014-02-12","00:04:10",9,-51.1,1,417.7,-2.7,1,1,-7.1,0,416.9,20.1,0.9944625,0,0,24.9,0
"62","2014-02-12","00:04:10",10,25.1,1,410,-3.4,1,1,-7.1,0,408.6,21.7,1.035327,0,0,27.9,0
"63","2014-02-12","00:04:10",11,22.4,1,434.4,59.6,1,1,-7.1,0,434.5,20.1,1.014871,0,0,28.3,0
"64","2014-02-12","00:04:10",12,65.8,1,429.4,-4.5,1,1,-7.1,0,427.4,25.6,0.9893199,0,0,28,0
"65","2014-02-12","00:04:10",13,425.1,97.2,21.8,101.7,20.3,21.3,27,0,0,394.5,0,NA,NA,NA,NA
"66","2014-02-12","00:05:10",1,-51.1,1,433.9,72.4,1,1,-7.1,0,433.3,21.4,0.988271,0,4.66,28,0
"67","2014-02-12","00:05:10",2,-51.1,1,425.7,-5.5,1,1,-7.1,0,425.1,21.6,1.003926,0,0,28,0
"68","2014-02-12","00:05:10",3,22.7,1,418.1,82.3,1,1,-7.1,0,418,21.1,0.5104356,0,3.36,25.9,0
"69","2014-02-12","00:05:10",4,26.1,1,418.4,73.4,1,1,-7.1,0,419.2,22.3,1.013099,0,0,27.4,0
"70","2014-02-12","00:05:10",5,148.4,1,431.3,-10.6,1,1,-7.1,0,427.4,20.7,1.017218,0,9.2,27.5,0
"71","2014-02-12","00:05:10",6,25.3,1,420.1,76.1,1,1,-7.1,0,427.4,22,0.4867572,0,0,27.2,0
"72","2014-02-12","00:05:10",7,22.7,1,461.4,-13.3,1,1,-7.1,0,460.3,19.9,0.5020257,0,0,25.1,0
"73","2014-02-12","00:05:10",8,-51.1,1,431.6,75.2,1,1,-7.1,0,431,25.5,0.4784756,0,4.31,25.4,0
"74","2014-02-12","00:05:10",9,-51.1,1,418.7,-2.7,1,1,-7.1,0,416.9,20.1,0.9944625,0,4.58,24.9,0
"75","2014-02-12","00:05:10",10,25.1,1,410,-3.4,1,1,-7.1,0,408.6,21.7,1.035327,0,0,27.9,0
"76","2014-02-12","00:05:10",11,22.4,1,434.4,59.8,1,1,-7.1,0,434.5,20.1,1.014871,0,4.5,28.3,0
"77","2014-02-12","00:05:10",12,65.8,1,430.4,-4.5,1,1,-7.1,0,427.4,25.6,0.9893199,0,0,27.9,0
"78","2014-02-12","00:05:10",13,418,97,21.8,101.7,20.3,21.3,27,0,0,394.5,0,NA,NA,NA,NA
"79","2014-02-12","00:06:09",1,-51.1,1,433.9,72.4,1,1,-7.1,0,433.3,21.4,0.988271,0,4.66,28,0
"80","2014-02-12","00:06:09",2,-51.1,1,425.7,-5.7,1,1,-7.1,0,425.1,21.6,1.003926,0,0,28,0
"81","2014-02-12","00:06:09",3,22.7,1,417.5,82.3,1,1,-7.1,0,418,21.1,0.5104356,0,3.36,25.8,0
"82","2014-02-12","00:06:09",4,26.2,1,418.4,73.4,1,1,-7.1,0,418,22.3,1.012614,0,0,27.4,0
"83","2014-02-12","00:06:09",5,148.3,1,431.3,-10.6,1,1,-7.1,0,427.4,20.7,1.017218,0,4.6,27.5,0
"84","2014-02-12","00:06:09",6,25.3,1,420.1,76,1,1,-7.1,0,427.4,22,0.4867572,0,0,27.1,0
"85","2014-02-12","00:06:09",7,22.7,1,460.4,-13.3,1,1,-7.1,0,460.3,19.9,0.5020257,0,4.2,25.1,0
"86","2014-02-12","00:06:09",8,-51.1,1,430.6,75.1,1,1,-7.1,0,431,25.5,0.4784756,0,0,25.4,0
"87","2014-02-12","00:06:09",9,-51.1,1,418.7,-2.7,1,1,-7.1,0,416.9,20.1,0.9944625,0,0,24.9,0
"88","2014-02-12","00:06:09",10,25.1,1,410,-3.6,1,1,-7.1,0,408.6,21.7,1.035327,0,0,27.9,0
"89","2014-02-12","00:06:09",11,22.4,1,434.4,59.8,1,1,-7.1,0,434.5,20.1,1.014871,0,4.5,28.3,0
"90","2014-02-12","00:06:09",12,65.8,1,430.4,-4.5,1,1,-7.1,0,427.4,25.6,0.9893199,0,0,27.9,0
"91","2014-02-12","00:06:09",13,418,97.1,21.7,101.7,20.3,21.3,27,0,0,394.5,0,NA,NA,NA,NA
"92","2014-02-12","00:07:09",1,-51.1,1,432.9,72.4,1,1,-7.1,0,433.3,21.4,0.988271,0,4.66,28,0
"93","2014-02-12","00:07:09",2,-51.1,1,426.7,-5.5,1,1,-7.1,0,425.1,21.6,1.003926,0,4.15,28,0
"94","2014-02-12","00:07:09",3,22.6,1,418,82.3,1,1,-7.1,0,418,21.1,0.5104356,0,6.72,25.8,0
"95","2014-02-12","00:07:09",4,26.1,1,417.2,73.4,1,1,-7.1,0,418,22.3,1.012614,0,0,27.4,0
"96","2014-02-12","00:07:09",5,148.1,1,431.3,-10.6,1,1,-7.1,0,427.4,20.7,1.017218,0,4.6,27.5,0
"97","2014-02-12","00:07:09",6,25.3,1,420.1,76.3,1,1,-7.1,0,427.4,22,0.4867572,0,0,27.1,0
"98","2014-02-12","00:07:09",7,22.7,1,459.9,-13.5,1,1,-7.1,0,460.3,19.9,0.5020257,0,0,25,0
"99","2014-02-12","00:07:09",8,-51.1,1,431.1,75.4,1,1,-7.1,0,431,25.5,0.4784756,0,0,25.4,0
"100","2014-02-12","00:07:09",9,-51.1,1,419.7,-2.9,1,1,-7.1,0,416.9,20.1,0.9944625,0,4.58,24.9,0
"101","2014-02-12","00:07:09",10,25.1,1,410,-3.6,1,1,-7.1,0,408.6,21.7,1.035327,0,0,27.9,0
"102","2014-02-12","00:07:09",11,22.4,1,434.4,59.8,1,1,-7.1,0,434.5,20.1,1.014871,0,0,28.2,0
"103","2014-02-12","00:07:09",12,65.7,1,430.4,-4.5,1,1,-7.1,0,427.4,25.6,0.9893199,0,0,27.9,0
"104","2014-02-12","00:07:09",13,395.7,97.3,21.8,101.7,20.3,21.3,26.9,0,0,395.7,0,NA,NA,NA,NA
"105","2014-02-12","00:08:10",1,-51.1,1,433.9,72.4,1,1,-7.1,0,433.3,21.4,0.988271,0,4.66,28,0
"106","2014-02-12","00:08:10",2,-51.1,1,426.7,-5.5,1,1,-7.1,0,425.1,21.6,1.003926,0,0,27.9,0
"107","2014-02-12","00:08:10",3,22.6,1,418,82.3,1,1,-7.1,0,418,21.1,0.5104356,0,3.36,25.8,0
"108","2014-02-12","00:08:10",4,26.2,1,418.2,73.4,1,1,-7.1,0,418,22.3,1.012614,0,5.16,27.4,0
"109","2014-02-12","00:08:10",5,147.6,1,432.3,-10.6,1,1,-7.1,0,431,21.3,1.017033,0,4.6,27.4,0
"110","2014-02-12","00:08:10",6,25.4,1,419.6,76.1,1,1,-7.1,0,427.4,22,0.4867572,0,0,27.1,0
"111","2014-02-12","00:08:10",7,22.7,1,458.3,-13.3,1,1,-7.1,0,460.3,19.9,0.5020257,0,0,25,0
"112","2014-02-12","00:08:10",8,-51.1,1,431.1,75.2,1,1,-7.1,0,431,25.5,0.4784756,0,0,25.4,0
"113","2014-02-12","00:08:10",9,-51.1,1,418.7,-2.9,1,1,-7.1,0,416.9,20.1,0.9944625,0,0,24.8,0
"114","2014-02-12","00:08:10",10,25.1,1,410,-3.4,1,1,-7.1,0,408.6,21.7,1.035327,0,0,27.9,0
"115","2014-02-12","00:08:10",11,22.4,1,433.4,59.9,1,1,-7.1,0,434.5,20.1,1.014871,0,0,28.2,0
"116","2014-02-12","00:08:10",12,65.8,1,430.4,-4.5,1,1,-7.1,0,427.4,25.6,0.9893199,0,6.4,27.9,0
"117","2014-02-12","00:08:10",13,431,97.3,21.8,101.7,20.3,21.3,26.9,0,0,395.7,0,NA,NA,NA,NA
"118","2014-02-12","00:09:10",1,-51.1,1,433.9,72.4,1,1,-7.1,0,433.3,21.4,0.988271,0,4.66,28,0
"119","2014-02-12","00:09:10",2,-51.1,1,426.7,-5.5,1,1,-7.1,0,425.1,21.6,1.003926,0,0,27.9,0
"120","2014-02-12","00:09:10",3,22.6,1,418,82.3,1,1,-7.1,0,418,21.1,0.5104356,0,3.36,25.8,0
"121","2014-02-12","00:09:10",4,26.1,1,417.2,73.4,1,1,-7.1,0,418,22.3,1.012614,0,0,27.4,0
"122","2014-02-12","00:09:10",5,148.2,1,432.2,-10.4,1,1,-7.1,0,431,21.3,1.017033,0,4.6,27.4,0
"123","2014-02-12","00:09:10",6,25.4,1,421,76.3,1,1,-7.1,0,426.3,21.8,0.4901225,0,0,27.1,0
"124","2014-02-12","00:09:10",7,22.7,1,458.3,-13.3,1,1,-7.1,0,460.3,19.9,0.5020257,0,4.2,25,0
"125","2014-02-12","00:09:10",8,-51.1,1,431.1,75.4,1,1,-7.1,0,431,25.5,0.4784756,0,4.31,25.4,0
"126","2014-02-12","00:09:10",9,-51.1,1,419.7,-2.9,1,1,-7.1,0,416.9,20.1,0.9944625,0,0,24.8,0
"127","2014-02-12","00:09:10",10,25.1,1,410,-3.4,1,1,-7.1,0,408.6,21.7,1.035327,0,0,27.9,0
"128","2014-02-12","00:09:10",11,22.4,1,433.4,59.9,1,1,-7.1,0,434.5,20.1,1.014871,0,4.5,28.2,0
"129","2014-02-12","00:09:10",12,65.7,1,431.3,-4.5,1,1,-7.1,0,427.4,25.6,0.9893199,0,0,27.9,0
"130","2014-02-12","00:09:10",13,426.3,97.5,21.8,101.7,20.3,21.3,27,0,0,395.7,0,NA,NA,NA,NA
"131","2014-02-12","00:10:09",1,-51.1,1,433.9,72.4,1,1,-7.1,0,433.3,21.4,0.988271,0,4.66,27.9,0
"132","2014-02-12","00:10:09",2,-51.1,1,427.7,-5.5,1,1,-7.1,0,425.1,21.6,1.003926,0,4.15,27.9,0
"133","2014-02-12","00:10:09",3,22.6,1,418,82.3,1,1,-7.1,0,418,21.1,0.5104356,0,6.72,25.8,0
"134","2014-02-12","00:10:09",4,26.2,1,417.2,73.4,1,1,-7.1,0,418,22.3,1.012614,0,0,27.4,0
"135","2014-02-12","00:10:09",5,148.4,1,432.2,-10.4,1,1,-7.1,0,431,21.3,1.017033,0,9.2,27.4,0
"136","2014-02-12","00:10:09",6,25.4,1,424,76.1,1,1,-7.1,0,426.3,21.8,0.4901225,0,4.06,27.1,0
"137","2014-02-12","00:10:09",7,22.7,1,457.8,-13.3,1,1,-7.1,0,462.7,19.9,0.5038131,0,0,25,0
"138","2014-02-12","00:10:09",8,-51.1,1,431.1,75.2,1,1,-7.1,0,431,25.5,0.4784756,0,0,25.3,0
"139","2014-02-12","00:10:09",9,-51.1,1,419.7,-2.9,1,1,-7.1,0,416.9,20.1,0.9944625,0,4.58,24.8,0
"140","2014-02-12","00:10:09",10,25.1,1,410,-3.4,1,1,-7.1,0,408.6,21.7,1.035327,0,0,27.9,0
"141","2014-02-12","00:10:09",11,22.4,1,433.4,59.9,1,1,-7.1,0,434.5,20.1,1.014871,0,0,28.2,0
"142","2014-02-12","00:10:09",12,65.7,1,431.3,-4.5,1,1,-7.1,0,427.4,25.6,0.9893199,0,0,27.8,0
"143","2014-02-12","00:10:09",13,462.7,97.5,21.8,101.7,20.3,21.3,27,0,0,395.7,0,NA,NA,NA,NA
"144","2014-02-12","00:11:09",1,-51.1,1,432.9,72.5,1,1,-7.1,0,433.3,21.4,0.988271,0,0,27.9,0
"145","2014-02-12","00:11:09",2,-51.1,1,427.7,-5.5,1,1,-7.1,0,425.1,21.6,1.003926,0,0,27.9,0
"146","2014-02-12","00:11:09",3,22.6,1,418,82.3,1,1,-7.1,0,418,21.1,0.5104356,0,3.36,25.7,0
"147","2014-02-12","00:11:09",4,26.2,1,417.2,73.6,1,1,-7.1,0,418,22.3,1.012614,0,0,27.4,0
"148","2014-02-12","00:11:09",5,148.4,1,433.3,-10.6,1,1,-7.1,0,431,21.3,1.017033,0,4.6,27.4,0
"149","2014-02-12","00:11:09",6,25.4,1,422.5,76.3,1,1,-7.1,0,426.3,21.8,0.4901225,0,0,27.1,0
"150","2014-02-12","00:11:09",7,22.7,1,459.5,-13.5,1,1,-7.1,0,462.7,19.9,0.5038131,0,4.2,25,0
"151","2014-02-12","00:11:09",8,-51.1,1,431.1,75.4,1,1,-7.1,0,431,25.3,0.4784201,0,0,25.3,0
"152","2014-02-12","00:11:09",9,-51.1,1,420.7,-2.9,1,1,-7.1,0,416.9,20.1,0.9944625,0,0,24.8,0
"153","2014-02-12","00:11:09",10,25.1,1,411,-3.4,1,1,-7.1,0,408.6,21.7,1.035327,0,4.93,27.8,0
"154","2014-02-12","00:11:09",11,22.4,1,434.4,59.8,1,1,-7.1,0,434.5,20.1,1.014871,0,4.5,28.2,0
"155","2014-02-12","00:11:09",12,65.7,1,431.3,-4.5,1,1,-7.1,0,427.4,25.6,0.9893199,0,0,27.8,0
"156","2014-02-12","00:11:09",13,431,97.3,21.7,101.7,20.3,21.3,27,0,0,395.7,0,NA,NA,NA,NA
"157","2014-02-12","00:12:10",1,-51.1,1,433.9,72.4,1,1,-7.1,0,433.3,21.4,0.988271,0,4.66,27.9,0
"158","2014-02-12","00:12:10",2,-51.1,1,426.7,-5.5,1,1,-7.1,0,425.1,21.6,1.003926,0,0,27.9,0
"159","2014-02-12","00:12:10",3,22.6,1,418,82.1,1,1,-7.1,0,418,21.1,0.5104356,0,3.36,25.7,0
"160","2014-02-12","00:12:10",4,26.3,1,417.2,73.3,1,1,-7.1,0,418,22.3,1.012614,0,0,27.3,0
"161","2014-02-12","00:12:10",5,148.6,1,433.3,-10.6,1,1,-7.1,0,431,21.3,1.017033,0,4.6,27.4,0
"162","2014-02-12","00:12:10",6,25.4,1,422.5,76,1,1,-7.1,0,426.3,21.8,0.4901225,0,0,27,0
"163","2014-02-12","00:12:10",7,22.7,1,460,-13.3,1,1,-7.1,0,462.7,19.9,0.5038131,0,0,24.9,0
"164","2014-02-12","00:12:10",8,-51.1,1,431.1,75.1,1,1,-7.1,0,431,25.3,0.4784201,0,0,25.3,0
"165","2014-02-12","00:12:10",9,-51.1,1,420.7,-2.9,1,1,-7.1,0,416.9,20.1,0.9944625,0,4.58,24.8,0
"166","2014-02-12","00:12:10",10,25.1,1,410,-3.4,1,1,-7.1,0,408.6,21.7,1.035327,0,0,27.8,0
"167","2014-02-12","00:12:10",11,22.4,1,434.4,59.8,1,1,-7.1,0,434.5,20.1,1.014871,0,0,28.2,0
"168","2014-02-12","00:12:10",12,65.7,1,432.3,-4.5,1,1,-7.1,0,427.4,25.6,0.9893199,0,0,27.8,0
"169","2014-02-12","00:12:10",13,395.7,97.6,21.8,101.7,20.3,21.3,27,0,0.3,395.7,0,NA,NA,NA,NA
"170","2014-02-12","00:13:10",1,-51.1,1,432.9,72.2,1,1,-7.1,0,433.3,21.4,0.988271,0,4.66,27.9,0
"171","2014-02-12","00:13:10",2,-51.1,1,427.7,-5.5,1,1,-7.1,0,425.1,21.6,1.003926,0,4.15,27.9,0
"172","2014-02-12","00:13:10",3,22.6,1,418,81.9,1,1,-7.1,0,418,21.1,0.5104356,0,3.36,25.7,0
"173","2014-02-12","00:13:10",4,26.2,1,417.2,72.9,1,1,-7.1,0,418,22.3,1.012614,0,0,27.3,0
"174","2014-02-12","00:13:10",5,148.7,1,433.3,-10.6,1,1,-7.1,0,431,21.3,1.017033,0,4.6,27.4,0
"175","2014-02-12","00:13:10",6,25.4,1,423.5,76,1,1,-7.1,0,426.3,21.8,0.4901225,0,0,27,0
"176","2014-02-12","00:13:10",7,22.7,1,460.5,-13.3,1,1,-7.1,0,462.7,19.9,0.5038131,0,4.2,24.9,0
"177","2014-02-12","00:13:10",8,-51.1,1,430.6,75.2,1,1,-7.1,0,431,25.3,0.4784201,0,0,25.3,0
"178","2014-02-12","00:13:10",9,-51.1,1,420.7,-2.9,1,1,-7.1,0,420.4,20.2,0.994953,0,0,24.8,0
"179","2014-02-12","00:13:10",10,25.1,1,411,-3.4,1,1,-7.1,0,408.6,21.7,1.035327,0,0,27.8,0
"180","2014-02-12","00:13:10",11,22.4,1,434.4,59.6,1,1,-7.1,0,434.5,20.1,1.014871,0,4.5,28.2,0
"181","2014-02-12","00:13:10",12,65.7,1,432.3,-4.3,1,1,-7.1,0,427.4,25.6,0.9893199,0,0,27.8,0
"182","2014-02-12","00:13:10",13,420.4,97.5,21.7,101.7,20.3,21.2,27,0,0.4,395.7,0,NA,NA,NA,NA
"183","2014-02-12","00:14:10",1,-51.1,1,433.9,72.2,1,1,-7.1,0,433.3,21.4,0.988271,0,4.66,27.9,0
"184","2014-02-12","00:14:10",2,-51.1,1,427.7,-5.5,1,1,-7.1,0,425.1,21.6,1.003926,0,0,27.9,0
"185","2014-02-12","00:14:10",3,22.6,1,418,81.9,1,1,-7.1,0,418,21.1,0.5104356,0,3.36,25.7,0
"186","2014-02-12","00:14:10",4,26.2,1,417.2,72.7,1,1,-7.1,0,418,22.3,1.012614,0,5.16,27.3,0
"187","2014-02-12","00:14:10",5,148.7,1,434.3,-10.4,1,1,-7.1,0,431,21.3,1.017033,0,4.6,27.4,0
"188","2014-02-12","00:14:10",6,25.4,1,424,75.6,1,1,-7.1,0,426.3,21.8,0.4901225,0,0,27,0
"189","2014-02-12","00:14:10",7,22.7,1,460.5,-13.3,1,1,-7.1,0,462.7,19.9,0.5038131,0,0,24.9,0
"190","2014-02-12","00:14:10",8,-51.1,1,430.6,75.1,1,1,-7.1,0,431,25.3,0.4784201,0,4.31,25.3,0
"191","2014-02-12","00:14:10",9,-51.1,1,420.9,-2.7,1,1,-7.1,0,420.4,20.2,0.994953,0,0,24.7,0
"192","2014-02-12","00:14:10",10,25,1,411,-3.4,1,1,-7.1,0,411,21.4,1.036048,0,0,27.8,0
"193","2014-02-12","00:14:10",11,22.4,1,434.4,59.6,1,1,-7.1,0,434.5,20.1,1.014871,0,4.5,28.2,0
"194","2014-02-12","00:14:10",12,65.7,1,432.3,-4.3,1,1,-7.1,0,427.4,25.6,0.9893199,0,6.4,27.8,0
"195","2014-02-12","00:14:10",13,411,97.6,21.7,101.7,20.3,21.2,27.1,0,0.4,395.7,0,NA,NA,NA,NA
"196","2014-02-12","00:15:09",1,-51.1,1,433.9,72.2,1,1,-7.1,0,433.3,21.4,0.988271,0,0,27.9,0
"197","2014-02-12","00:15:09",2,-51.1,1,429.7,-5.5,1,1,-7.1,0,425.1,21.6,1.003926,0,0,27.8,0
"198","2014-02-12","00:15:09",3,22.6,1,418,81.9,1,1,-7.1,0,418,21.1,0.5104356,0,6.72,25.7,0
"199","2014-02-12","00:15:09",4,26.1,1,417.2,72.7,1,1,-7.1,0,418,22.3,1.012614,0,0,27.3,0
"200","2014-02-12","00:15:09",5,148.7,1,434.3,-10.4,1,1,-7.1,0,431,21.3,1.017033,0,9.2,27.4,0
"201","2014-02-12","00:15:09",6,25.4,1,423,75.8,1,1,-7.1,0,426.3,21.8,0.4901225,0,0,27,0
"202","2014-02-12","00:15:09",7,22.7,1,460.5,-13.3,1,1,-7.1,0,462.7,19.9,0.5038131,0,0,24.9,0
"203","2014-02-12","00:15:09",8,-51.1,1,430.6,75.1,1,1,-7.1,0,431,25.3,0.4784201,0,0,25.3,0
"204","2014-02-12","00:15:09",9,-51.1,1,421.9,-2.7,1,1,-7.1,0,420.4,20.2,0.994953,0,4.58,24.7,0
"205","2014-02-12","00:15:09",10,25,1,411.3,-3.4,1,1,-7.1,0,411,21.4,1.036048,0,0,27.8,0
"206","2014-02-12","00:15:09",11,22.4,1,434.4,59.2,1,1,-7.1,0,434.5,20.1,1.015322,0,0,28.1,0
