"collection","chamber","litter","startDate","collectionDate"
8,"C11",10.70227222,2013-12-11,2013-12-24
8,"C12",10.35227222,2013-12-11,2013-12-24
9,"C01",0,2013-12-25,2014-01-07
9,"C02",13.74227222,2013-12-25,2014-01-07
9,"C03",6.288272222,2013-12-25,2014-01-07
9,"C04",14.02327222,2013-12-25,2014-01-07
9,"C05",5.775272222,2013-12-25,2014-01-07
9,"C06",5.394272222,2013-12-25,2014-01-07
9,"C07",6.649272222,2013-12-25,2014-01-07
9,"C08",1.479272222,2013-12-25,2014-01-07
9,"C09",19.1375,2013-12-25,2014-01-07
9,"C10",6.732272222,2013-12-25,2014-01-07
9,"C11",12.11227222,2013-12-25,2014-01-07
9,"C12",15.65627222,2013-12-25,2014-01-07
10,"C01",1.128272222,2014-01-08,2014-01-22
10,"C02",30.7385,2014-01-08,2014-01-22
10,"C03",2.184272222,2014-01-08,2014-01-22
10,"C04",35.1065,2014-01-08,2014-01-22
10,"C05",11.3675,2014-01-08,2014-01-22
10,"C06",7.307272222,2014-01-08,2014-01-22
10,"C07",13.15927222,2014-01-08,2014-01-22
10,"C08",10.93527222,2014-01-08,2014-01-22
10,"C09",20.1365,2014-01-08,2014-01-22
10,"C10",24.4475,2014-01-08,2014-01-22
10,"C11",20.6675,2014-01-08,2014-01-22
10,"C12",31.2705,2014-01-08,2014-01-22
11,"C01",8.729,2014-01-23,2014-02-04
11,"C02",33.074,2014-01-23,2014-02-04
11,"C03",7.811,2014-01-23,2014-02-04
11,"C04",39.161,2014-01-23,2014-02-04
11,"C05",8.577,2014-01-23,2014-02-04
11,"C06",16.301,2014-01-23,2014-02-04
11,"C07",18.021,2014-01-23,2014-02-04
11,"C08",38.839,2014-01-23,2014-02-04
11,"C09",22.561,2014-01-23,2014-02-04
11,"C10",27.185,2014-01-23,2014-02-04
11,"C11",25.735,2014-01-23,2014-02-04
11,"C12",30.761,2014-01-23,2014-02-04
12,"C01",8.182272222,2014-02-05,2014-02-18
12,"C02",31.2785,2014-02-05,2014-02-18
12,"C03",2.333272222,2014-02-05,2014-02-18
12,"C04",51.3675,2014-02-05,2014-02-18
12,"C05",14.73127222,2014-02-05,2014-02-18
12,"C06",11.80827222,2014-02-05,2014-02-18
12,"C07",33.2575,2014-02-05,2014-02-18
12,"C08",25.2525,2014-02-05,2014-02-18
12,"C09",14.03527222,2014-02-05,2014-02-18
12,"C10",27.1155,2014-02-05,2014-02-18
12,"C11",47.9065,2014-02-05,2014-02-18
12,"C12",29.3295,2014-02-05,2014-02-18
13,"C01",5.390272222,2014-02-19,2014-03-04
13,"C02",27.57327222,2014-02-19,2014-03-04
13,"C03",2.525272222,2014-02-19,2014-03-04
13,"C04",37.0845,2014-02-19,2014-03-04
13,"C05",19.82427222,2014-02-19,2014-03-04
13,"C06",20.0615,2014-02-19,2014-03-04
13,"C07",14.17627222,2014-02-19,2014-03-04
13,"C08",23.2245,2014-02-19,2014-03-04
13,"C09",7.3395,2014-02-19,2014-03-04
13,"C10",10.9425,2014-02-19,2014-03-04
13,"C11",40.4325,2014-02-19,2014-03-04
13,"C12",28.7865,2014-02-19,2014-03-04
14,"C01",9.7545,2014-03-05,2014-03-19
14,"C02",9.0155,2014-03-05,2014-03-19
14,"C03",1.8015,2014-03-05,2014-03-19
14,"C04",24.2085,2014-03-05,2014-03-19
14,"C05",19.8055,2014-03-05,2014-03-19
14,"C06",5.8715,2014-03-05,2014-03-19
14,"C07",14.0905,2014-03-05,2014-03-19
14,"C08",16.837,2014-03-05,2014-03-19
14,"C09",10.4655,2014-03-05,2014-03-19
14,"C10",32.7985,2014-03-05,2014-03-19
14,"C11",11.9705,2014-03-05,2014-03-19
14,"C12",23.8655,2014-03-05,2014-03-19
15,"C01",4.7535,2014-03-20,2014-04-01
15,"C02",9.4545,2014-03-20,2014-04-01
15,"C03",0.7765,2014-03-20,2014-04-01
15,"C04",60.3795,2014-03-20,2014-04-01
15,"C05",22.1305,2014-03-20,2014-04-01
15,"C06",6.2125,2014-03-20,2014-04-01
15,"C07",6.2225,2014-03-20,2014-04-01
15,"C08",11.7995,2014-03-20,2014-04-01
15,"C09",9.3265,2014-03-20,2014-04-01
15,"C10",24.8505,2014-03-20,2014-04-01
15,"C11",13.4145,2014-03-20,2014-04-01
15,"C12",24.3875,2014-03-20,2014-04-01
16,"C01",10.4265,2014-04-02,2014-04-16
16,"C02",8.2275,2014-04-02,2014-04-16
16,"C03",2.3415,2014-04-02,2014-04-16
16,"C04",53.1485,2014-04-02,2014-04-16
16,"C05",8.7055,2014-04-02,2014-04-16
16,"C06",13.3645,2014-04-02,2014-04-16
16,"C07",5.0675,2014-04-02,2014-04-16
16,"C08",10.1555,2014-04-02,2014-04-16
16,"C09",25.9655,2014-04-02,2014-04-16
16,"C10",93.9225,2014-04-02,2014-04-16
16,"C11",5.9845,2014-04-02,2014-04-16
16,"C12",26.3455,2014-04-02,2014-04-16
17,"C01",4.2005,2014-04-17,2014-04-29
17,"C02",5.1915,2014-04-17,2014-04-29
17,"C03",2.8545,2014-04-17,2014-04-29
17,"C04",40.8255,2014-04-17,2014-04-29
17,"C05",9.2445,2014-04-17,2014-04-29
17,"C06",14.2495,2014-04-17,2014-04-29
17,"C07",5.5995,2014-04-17,2014-04-29
17,"C08",13.1545,2014-04-17,2014-04-29
17,"C09",16.2895,2014-04-17,2014-04-29
17,"C10",168.005,2014-04-17,2014-04-29
17,"C11",7.3515,2014-04-17,2014-04-29
17,"C12",40.2185,2014-04-17,2014-04-29
18,"C01",19.8285,2014-04-30,2014-05-13
18,"C02",28.0115,2014-04-30,2014-05-13
18,"C03",3.5625,2014-04-30,2014-05-13
18,"C04",67.5575,2014-04-30,2014-05-13
18,"C05",16.8465,2014-04-30,2014-05-13
18,"C06",7.8905,2014-04-30,2014-05-13
18,"C07",7.6325,2014-04-30,2014-05-13
18,"C08",7.4935,2014-04-30,2014-05-13
18,"C09",7.5355,2014-04-30,2014-05-13
18,"C10",133.752,2014-04-30,2014-05-13
18,"C11",8.2625,2014-04-30,2014-05-13
18,"C12",28.4175,2014-04-30,2014-05-13
19,"C01",20.7715,2014-05-14,2014-05-28
19,"C02",12.1695,2014-05-14,2014-05-28
19,"C03",3.9655,2014-05-14,2014-05-28
19,"C04",18.4655,2014-05-14,2014-05-28
19,"C05",17.9445,2014-05-14,2014-05-28
19,"C06",13.8635,2014-05-14,2014-05-28
19,"C07",23.7775,2014-05-14,2014-05-28
19,"C08",34.1125,2014-05-14,2014-05-28
19,"C09",17.2315,2014-05-14,2014-05-28
19,"C10",165.94,2014-05-14,2014-05-28
19,"C11",13.3535,2014-05-14,2014-05-28
19,"C12",37.2555,2014-05-14,2014-05-28
