"chamber","T_treatment","Water_treatment","position","timepoint","DateTime","Code","Obs","FTime","Ebal","Photo","Cond","Ci","Trmmol","VpdL","CTleaf","Area","BLC_1","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","PARi","PARo","Press","CsMch","HsMch","StableF","BLCslope","BLCoffst","f_parin","f_parout","alphaK","Status","fda","Trans","Tair_K","Twall_K","R.W.m2.","Tl.Ta","SVTleaf","h2o_i","h20diff","CTair","SVTair","CndTotal","vp_kPa","VpdA","CndCO2","Ci_Pa","Ci.Ca","RHsfc","C2sfc","AHs.Cs","campaign","Unit","User"
"C01","ambient","control","top",5,2013-07-10 15:27:01,"1top",198,30388.6,0,11.251548716,0.1606055962,275.88901686,0.9661332446,0.6429678016,16.841911698,6,1.420000017,1,2.840000033,17.360819242,16.841911698,17.487158202,410.77032472,396.80274658,11.331377412,12.476738548,58.532575224,64.448976134,499.7965271,351.04511108,100.313403342,102.76695404,2.752464294,0.097397864,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.8329942118,0.0009661334,289.99191168,290.51081924,56.167216516,0.006085236,1.9251642176,18.733300368,6.256561819,17.10136547,1.9570878114,0.152009239,1.2821964156,0.6748913956,0.0957424326,28.352274042,0.695279894,67.888435652,391.4542992,0.019513191,1,"UWS4","John"
"C01","ambient","control","top",6,2013-07-10 16:35:22,"1top",213,34489.9,0,3.4677292096,0.1099842954,349.17043466,0.5172944338,0.4954449616,13.955931856,6,1.420000017,1,2.840000033,14.487954522,13.955931856,14.573999404,408.63356324,404.21929322,10.131257632,10.745630076,62.878060152,66.691067502,499.7645752,70.696414184,28.964593884,102.76334382,2.909690857,0.127578795,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.8329409586,0.0005172946,287.10593184,287.63795452,11.311426016,-0.0020151376,1.5997018394,15.566852722,4.8212226496,14.22194319,1.6275283942,0.1058837246,1.1042568774,0.5232715166,0.0665339138,35.88192152,0.8638143966,69.786113016,402.57090082,0.006011349,1,"UWS4","John"
"C02","elevated","control","low",1,2013-07-10 07:53:02,"2low",8,1362.9,0,1.3797705472,0.246841318,394.46424462,1.2020831264,0.53763688,14.074965666,6,1.420000017,1,2.840000033,14.757398604,14.074965666,14.930199244,409.6713318,407.43024904,9.0142873764,10.44022579,55.062586212,63.772740172,500.5264343,28.99446869,26.536140442,102.91583404,1.248616338,0.21874699,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.8342107238,0.0012020832,287.22496568,287.9073986,4.6391148864,-0.4973580796,1.6121014244,15.664270128,5.2240443346,14.416182134,1.6481148972,0.227102461,1.0744645444,0.5736503528,0.143589612,40.5966166,0.968176089,68.911014668,406.7743722,0.0023374554,1,"HIE3","Mike"
"C02","elevated","control","low",2,2013-07-10 09:39:51,"2low",54,7773.8,0,1.680509204,0.3684396862,396.29648268,1.4029796586,0.4366568354,15.064752578,6,1.420000017,1,2.840000033,15.584740258,15.064752578,15.680563928,409.82366334,407.12424316,10.784011652,12.44502678,62.513306428,72.141973876,500.48411866,40.023206328,98.71368103,103.00219726,1.575734258,0.224449009,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.8341401978,0.0014029798,288.21475258,288.73474024,6.4037128696,-0.6012683478,1.718521939,16.684323126,4.239296346,15.324746418,1.7474796058,0.3261294174,1.2818651038,0.465614502,0.207252141,40.819408372,0.9734042894,77.176535724,406.32540956,0.0031919418,1,"HIE3","Mike"
"C02","elevated","control","low",3,2013-07-10 11:42:56,"2low",99,15164.2,0,12.54284699,0.359087882,327.6588594,2.2903359144,0.7231502292,21.529692842,6,1.420000017,1,2.840000033,22.331155778,21.529692842,22.614841082,409.79609376,393.67641602,15.338066864,18.03460846,58.273786164,68.518746948,500.42557372,299.00042114,84.555137632,102.8686905,2.490498543,0.143231243,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.834042623,0.002290336,294.67969286,295.48115576,47.840066314,-0.5271705962,2.578346793,25.064446438,7.0298379796,21.93042431,2.6422692556,0.3187813234,1.8551965636,0.7870726922,0.202505863,33.705837694,0.832305036,74.552758574,387.71414726,0.0241183816,1,"HIE3","Mike"
"C02","elevated","control","low",4,2013-07-10 13:33:01,"2low",144,21768,0,2.7063025696,0.3265136428,388.68838966,1.6824580874,0.5793761222,19.044552994,6,1.420000017,1,2.840000033,19.795528412,19.044552994,19.939413452,410.92348634,406.8580078,13.89498844,15.880162812,61.62690506,70.431517026,500.43173216,60.290979768,100.45913238,102.7661377,2.086445808,0.21918568,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.834052887,0.0016824584,292.194553,292.94552842,9.6465565474,-0.6740729304,2.2113191196,21.5179744,5.6378115856,19.420040704,2.2636508728,0.292845231,1.631942998,0.6317078748,0.185782072,39.944004626,0.9553415902,76.053412842,405.57156116,0.0050748692,1,"HIE3","Mike"
"C02","elevated","control","low",5,2013-07-10 15:24:50,"2low",196,28474.7,0,1.2006977116,0.3223539604,396.64354554,1.6987175438,0.5916018232,19.021475984,6,1.420000017,1,2.840000033,19.82026825,19.021475984,19.964897918,409.16730344,406.8991028,13.7307909,15.73533268,60.785581208,69.659588622,500.45979616,29.905772018,65.615501404,102.73286896,1.978169441,0.223488659,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.8340996604,0.0016987176,292.17147598,292.97026824,4.784923416,-0.7345525836,2.2081376926,21.493974764,5.7586420826,19.420872116,2.263767761,0.2894948576,1.6165358698,0.6472318916,0.1836249674,40.748329402,0.9747958192,75.48276832,406.32834858,0.0022305286,1,"HIE3","Mike"
"C02","elevated","control","low",6,2013-07-10 16:33:36,"2low",211,32600.4,0,-0.1347796128,0.2487526796,406.19233836,1.2825189962,0.566514294,17.340505216,6,1.420000017,1,2.840000033,17.81781006,17.340505216,17.908153916,409.34138184,408.87432254,12.309927368,13.826144412,61.760176088,69.367198182,500.50355226,9.9377145766,0.5323477806,102.7334961,1.6369524,0.234282345,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.834172587,0.0012825188,290.49050524,290.96781006,1.5900342968,-0.5974160224,1.9869224468,19.340551252,5.5144068422,17.579157638,2.017093396,0.2287193294,1.4204081526,0.5966852434,0.1446238822,41.72955905,0.9934405662,73.341997274,408.9383903,-0.0002417186,1,"HIE3","Mike"
"C02","elevated","control","top",1,2013-07-10 07:49:44,"2top",3,1167.7,0,3.7463610582,0.2717216536,377.47922714,1.3029011304,0.533597181,14.10813923,6,1.420000017,1,2.840000033,14.748158456,14.10813923,14.896681594,409.71481322,404.5920227,8.9680261612,10.513435936,54.811437228,64.256785584,500.5286804,75.524783326,27.735173034,102.91354064,1.248616338,0.21874699,0.9333333374,-0.219565243,2.737391472,1,0,0.159999996,111115,0.8342144672,0.001302901,287.25813926,287.89815846,12.083965062,-0.4665089044,1.615572097,15.698343348,5.1849074108,14.428148842,1.6493906552,0.2479943212,1.0819749162,0.5674157388,0.1569667862,38.847723824,0.9329872786,69.455416008,402.81118208,0.0064597616,1,"HIE3","Mike"
"C02","elevated","control","top",2,2013-07-10 09:43:56,"2top",59,8020.7,0,7.2109958036,0.2513380342,348.2588186,1.1501320772,0.50549238,15.490608404,6,1.420000017,1,2.840000033,16.062324144,15.490608404,16.161933518,409.78839112,400.59152832,10.878108404,12.240009688,61.158695222,68.815550234,500.50078126,189.80089722,149.13226624,102.99697266,1.575734258,0.224449009,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.8341679688,0.001150132,288.6406084,289.21232416,30.368142876,-0.1728912566,1.7661763236,17.14784695,4.9078372588,15.776466274,1.7988119488,0.2309031782,1.2606839436,0.538128005,0.1460211062,35.86960396,0.869361211,73.314152736,397.16376628,0.0133110844,1,"HIE3","Mike"
"C02","elevated","control","top",3,2013-07-10 11:39:31,"2top",94,14957.4,0,20.826643428,0.3834389696,282.48560658,2.6667592814,0.7935666828,22.528707122,6,1.420000017,1,2.840000033,22.789462282,22.528707122,23.0318306,409.7684021,383.57183228,15.78673611,18.923550798,58.33438492,69.92541809,500.43660278,1000.151831,273.60812378,102.87276002,2.490498543,0.143231243,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.8340610048,0.0026667594,295.6787071,295.93946228,160.02428938,0.5388107384,2.7402845982,26.637611288,7.71406049,22.659084702,2.762061755,0.3378274422,1.9467179154,0.8153438396,0.2148154096,29.060074078,0.7364608038,73.890703696,373.67184344,0.0411830482,1,"HIE3","Mike"
"C02","elevated","control","top",4,2013-07-10 13:38:10,"2top",149,22078.2,0,14.134905422,0.399794757,325.92526546,2.1786864448,0.62645145,19.710616304,6,1.420000017,1,2.840000033,20.121218492,19.710616304,20.257530214,410.79636842,392.8238098,13.763970566,16.333356858,59.823786164,70.99136963,500.45443724,449.18115846,167.70948182,102.76140596,2.086445808,0.21918568,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.8340907288,0.0021786866,292.86061632,293.27121848,71.868983746,-0.2357359822,2.3048901646,22.429531294,6.096174439,19.915917398,2.3344227452,0.3504595522,1.6784387146,0.655984031,0.2229928774,33.492538726,0.8296982404,75.703835026,386.10475274,0.027714403,1,"HIE3","Mike"
"C02","elevated","control","top",5,2013-07-10 15:29:21,"2top",201,28752.2,0,12.635883812,0.4151272944,334.73372808,2.1145635916,0.5884020808,19.28273506,6,1.420000017,1,2.840000033,19.98479347,19.28273506,20.120165254,409.01322632,392.86769408,13.625142098,16.119487764,59.705544282,70.635791016,500.44657592,350.37985228,93.129841614,102.7320465,1.978169441,0.223488659,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.8340776266,0.0021145634,292.43273506,293.13479346,56.060775112,-0.3533542078,2.2443900472,21.847029464,5.7275417012,19.633764268,2.293919657,0.3621857608,1.6559879666,0.6379316906,0.2305934664,34.387880902,0.852026477,76.684237866,386.86120008,0.0250470014,1,"HIE3","Mike"
"C02","elevated","control","top",6,2013-07-10 16:27:26,"2top",206,32227.7,0,3.717141143,0.1840841132,366.0746381,0.9942771728,0.5812813038,17.034251786,6,1.420000017,1,2.840000033,17.553439334,17.034251786,17.579133224,408.62404174,403.68655394,12.135844422,13.311966706,61.906364442,67.90589905,500.4792969,70.159327698,25.945962144,102.72745972,1.6369524,0.234282345,0.8666666748,-0.219565243,2.737391472,1,0,0.159999996,111115,0.8341321614,0.0009942774,290.1842518,290.70343934,11.225492184,-0.3249671324,1.948785827,18.97044697,5.6584802646,17.293845558,1.9810701256,0.1728783886,1.3675045234,0.6135656024,0.1090028188,37.605917664,0.9068286678,71.528263874,401.9196031,0.0066153366,1,"HIE3","Mike"
"C03","ambient","control","low",1,2013-07-10 07:58:36,"3low",7.5,2653.16666666667,0,1.42382660066667,0.087219369,378.907048866667,0.451926125833333,0.5440049565,11.43794918,6,1.420000017,1,2.840000033,12.0076139766667,11.43794918,12.100732485,410.996648133333,409.06622315,7.35269641883333,7.89072640716667,53.7467562366667,57.67964999,500.0019684,30.828304925,21.1443513216667,102.94608305,5.950868607,0.187756121,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833336614,0.000451926166666667,284.5879492,285.157613983333,4.932528678,-0.112425756666667,1.35632433283333,13.1750941116667,5.28436770433333,11.72278158,1.3821115115,0.0846205691666667,0.812319376333333,0.569792135,0.053115359,39.00699657,0.9262730875,60.67207477,408.389404166667,0.002115293,1,"HIE4","John"
"C03","ambient","control","low",2,2013-07-10 09:39:42,"3low",13,8722.2,0,1.9056054536,0.1442611648,380.4869112,0.7684890428,0.5701776138,12.578027154,6,1.420000017,1,2.840000033,13.243282318,12.578027154,13.323667526,408.70039674,406.03911742,7.7426018716,8.6568429948,52.237561798,58.405738068,499.9795105,40.28806076,11.307438276,103.03700104,6.002534866,0.195728838,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.8332991842,0.000768489,285.72802716,286.39328232,6.4460895778,-0.2496830974,1.4621527538,14.190560082,5.5337170862,12.910654734,1.4943673362,0.1372874706,0.8919751402,0.602392196,0.0864050968,39.20423033,0.937069588,62.460478146,405.13328388,0.0029379402,1,"HIE4","John"
"C03","ambient","control","low",3,2013-07-10 11:37:13,"3low",23,15775.2,0,10.277780506,0.143493833,271.35359968,1.3645468098,1.0080596344,21.348802946,6,1.420000017,1,2.840000033,21.932174302,21.348802946,22.06566658,409.19659424,396.21013796,13.362977026,14.976449394,52.062012484,58.348081208,499.832843,299.90249024,1087.083777,102.95357818,5.338685989,0.139727175,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.8330547382,0.0013645468,294.49880296,295.0821743,47.984397364,-0.0684826768,2.5499386748,24.76784909,9.7913996956,21.640488624,2.5958835142,0.136592341,1.5418790404,1.0540044736,0.085964556,27.936824178,0.6848727482,61.60564696,391.3245733,0.0161802248,1,"HIE4","John"
"C03","ambient","control","low",4,2013-07-10 13:25:36,"3low",33.5,22281.5,0,3.0771949765,0.174404110166667,370.832071966667,1.10210748183333,0.6790237715,16.6879332866667,6,1.420000017,1,2.840000033,17.5568580633333,16.6879332866667,17.6571340566667,408.902852383333,404.674153633333,10.632492065,11.9394995366667,54.2655537916667,60.9361928316667,499.897145566667,60.0007508583333,110.3408394,102.80260215,5.756868362,0.167770922,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833161909333333,0.0011021075,289.8379333,290.70685805,9.600119923,-0.357509112666667,1.906435395,18.5446219666667,6.60512242866667,17.122395675,1.959695634,0.164313471833333,1.22741162366667,0.7322840105,0.1035572105,38.12250201,0.916371909333333,65.92386397,403.21140255,0.0050311315,1,"HIE4","John"
"C03","ambient","control","low",5,2013-07-10 15:22:02,"3low",48,29265.1,0,1.2295424416,0.2015553756,393.20115292,1.1842614668,0.6364802692,16.76592102,6,1.420000017,1,2.840000033,17.617612076,16.76592102,17.732136152,409.60285646,407.5479492,11.048751068,12.452363204,56.14302368,63.275299834,499.9307251,29.77061615,94.147850038,102.74527586,6.043367386,0.171097338,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.8332178752,0.0011842614,289.91592102,290.76761206,4.7632984776,-0.4609002108,1.9159017612,18.647103206,6.1947399988,17.191766548,1.968320194,0.1881988056,1.279421492,0.6888987018,0.1187555124,40.399560802,0.9647972332,68.490597772,406.96348362,0.0020692926,1,"HIE4","John"
"C03","ambient","control","low",6,2013-07-10 16:45:01,"3low",53,34244.6,0,0.005669007,0.0982550634,405.56658176,0.5890180242,0.6285213894,15.08170166,6,1.420000017,1,2.840000033,15.49231205,15.08170166,15.542602538,409.9843689,409.68794556,9.9276342392,10.627049256,57.74636383,61.814671324,499.92512208,11.315528298,18.73137741,102.7449005,6.514223099,0.199318469,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.8332085368,0.000589018,288.23170168,288.64231204,1.8104844874,-0.239107178,1.7203965074,16.74434935,6.1173000946,15.287006856,1.743249558,0.0949693916,1.0918751186,0.6513744396,0.0596425734,41.66989803,0.9899402176,64.198188298,409.6852508,8.88e-06,1,"HIE4","John"
"C03","ambient","control","top",1,2013-07-10 07:51:23,"3top",2.5,2220.625,0,3.53145762,0.22500310025,376.549832475,0.95723998375,0.4676412105,11.1617779725,6,1.420000017,1,2.840000033,11.9772813325,11.1617779725,12.0669620025,410.9152603,406.21067045,7.25420045825,8.393303156,53.1345958725,61.4781417825,499.975425725,75.348085405,15.27676463,102.9493923,6.151582718,0.177160323,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.83329237625,0.00095724,284.311777975,285.12728135,12.055693395,-0.265981705,1.33172666875,12.9357409375,4.54243778225,11.5695296525,1.36818379625,0.20848550375,0.86408545825,0.50409833825,0.13169316675,38.76557642,0.9269816205,67.1116922925,404.531984675,0.00585866775,1,"HIE4","John"
"C03","ambient","control","top",2,2013-07-10 09:45:04,"3top",18,9047.5,0,8.218208249,0.3513940314,355.46395584,1.4758937238,0.4804878608,12.77385483,6,1.420000017,1,2.840000033,13.468581202,12.77385483,13.552406502,410.22488402,399.65429078,7.9560061454,9.710035324,52.897889708,64.560083006,499.95612792,190.04524842,123.8475296,103.0434906,6.279634476,0.176992953,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.8332602132,0.0014758936,285.92385482,286.6185812,30.407239064,-0.3329650248,1.4810437986,14.372997138,4.6629618128,13.121218012,1.515081618,0.31270312,1.0005559376,0.5145256804,0.1985825886,36.628246764,0.8894285716,70.777725764,395.74774816,0.0146979252,1,"HIE4","John"
"C03","ambient","control","top",3,2013-07-10 11:51:47,"3top",28,16649.3,0,21.045472488,0.268278179,242.62409774,2.2207009908,0.913866851,21.078944778,6,1.420000017,1,2.840000033,21.249320222,21.078944778,21.385031508,409.0482788,382.76741946,12.864836502,15.489028742,52.244696808,62.901665496,499.8805603,999.93353274,330.1704956,102.9245865,5.724824905,0.120942652,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.8331342672,0.0022207008,294.22894478,294.39932022,159.98936166,0.7613738672,2.5080687432,24.368023342,8.8789946042,21.164132498,2.5212212164,0.2451228226,1.594201892,0.9270193248,0.1551264496,24.971985086,0.6338682274,66.030846058,372.76340972,0.0372796678,1,"HIE4","John"
"C03","ambient","control","top",4,2013-07-10 13:35:22,"3top",38.5,22860.625,0,14.68952863,0.1983576115,262.45570195,1.39470262475,0.760822161,17.7052435875,6,1.420000017,1,2.840000033,18.0627989775,17.7052435875,18.1528296475,410.221679675,391.935371375,10.7247552875,12.3779456625,53.0152215975,61.1873722075,499.920310975,448.85672,206.045173625,102.793602,6.125398636,0.155744135,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.8332005185,0.00139470275,290.8552436,291.212798975,71.81707359,0.16878409875,2.03319578075,19.7794001275,7.4014544665,17.8840212825,2.056219553,0.18540781925,1.27237362,0.78384593325,0.11697769025,26.9787671675,0.6696397895,64.4513900925,384.952673,0.02459411925,1,"HIE4","John"
"C03","ambient","control","top",5,2013-07-10 15:12:50,"3top",43,28711.1,0,11.46157457,0.1332375524,248.5598937,1.0305746714,0.8186091988,17.965432358,6,1.420000017,1,2.840000033,18.37905922,17.965432358,18.467516708,410.12290038,395.87681274,10.925996398,12.147887802,52.924718476,58.843475342,499.90793456,348.8995239,188.98349304,102.74792328,6.173067093,0.172794878,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833179891,0.0010305748,291.11543238,291.52905922,55.82392258,0.1767819942,2.0667794426,20.115048326,7.9671605236,18.172245788,2.0938202804,0.1272667948,1.2481702438,0.8456500366,0.0800574646,25.539012952,0.627871673,61.54666235,390.42852914,0.0180678828,1,"HIE4","John"
"C03","ambient","control","top",6,2013-07-10 16:54:41,"3top",58,34824.2,0,3.4837100066,0.113623496,350.87039154,0.6400621144,0.5937313718,14.943183136,6,1.420000017,1,2.840000033,15.616713526,14.943183136,15.679955292,409.6229126,405.13067626,10.056363296,10.816234206,58.034927366,62.420117186,499.93151852,70.231115722,22.54805832,102.75252382,6.513307571,0.187673151,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.8332191974,0.0006400622,288.09318312,288.76671354,11.236978264,-0.1203659596,1.7051267354,16.594499796,5.7782655886,15.27994833,1.7424594586,0.109252475,1.1113953634,0.631064095,0.0686624982,36.052818248,0.866067203,66.05390084,403.47468736,0.0057032676,1,"HIE4","John"
"C04","elevated","control","low",1,2013-07-10 07:51:05,"4low",8,451.2,0,1.4417915576,0.1316750652,385.49892514,0.9731886638,0.7872389684,13.275118828,6,1.420000017,1,2.840000033,14.26490383,13.275118828,14.241614532,410.80095214,408.59319458,6.0600912092,7.2197189332,38.220271302,45.533908842,499.89958494,31.201280594,26.128231048,102.93220978,-6.57981205,0.153450906,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.8331659748,0.0009731886,286.42511882,287.41490384,4.9922047836,-0.3350943164,1.530380592,14.867849376,7.648130444,13.770011326,1.5805025068,0.1258403954,0.7431416236,0.8373608838,0.0791544386,39.680256344,0.9434784476,50.289616292,407.90783592,0.0017775752,1,"ROS1","Mike"
